"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Sep-1999","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","98.04","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Sep-1999","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","95.8","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Sep-1999","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","-.819423369","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Sep-1999","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes","-.53986711","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Aug-1999","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","98.85","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Aug-1999","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","96.32","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Aug-1999","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","-2.089936609","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Aug-1999","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes","-2.163534789","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Jul-1999","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","100.96","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Jul-1999","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","98.45","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Jul-1999","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes",".049549103","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Jul-1999","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes",".459183673","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Jun-1999","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","100.91","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Jun-1999","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","98","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Jun-1999","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","1.33560956","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Jun-1999","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes","1.417779158","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-May-1999","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","99.58","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-May-1999","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","96.63","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-May-1999","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","-2.458614948","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-May-1999","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes","-2.087344209","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Apr-1999","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","102.09","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Apr-1999","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","98.69","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Apr-1999","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","-.370840246","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Apr-1999","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes","-.504083073","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
