"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00073000","............F. Construction","212760.865","Million PKR","Normal","","630","Scheduled Banks Loans to Construction sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00074000","..................41- Construction of buildings","148315.697","Million PKR","Normal","","640","Scheduled Banks Loans to Construction of buildings"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00075000","..................42- Civil engineering","61010.237","Million PKR","Normal","","650","Scheduled Banks Loans to Civil engineering"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00076000","..................43- Specialized construction activities","3434.931","Million PKR","Normal","","660","Scheduled Banks Loans to Specialized construction activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00077000","............G. Wholesale and retail trade; repair of motor vehicles and motorcycles","606850.6","Million PKR","Normal","","670","Scheduled Banks Loans to Wholesale and retail trade; repair of motor vehicles and motorcycles"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00078000","..................45- Wholesale and retail trade and repair of motor vehicles and motorcycles","25272.183","Million PKR","Normal","","680","Scheduled Banks Loans to Wholesale and retail trade and repair of motor vehicles and motorcycles"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00079000","..................46- Wholesale trade, except of motor vehicles and motorcycles","319335.081","Million PKR","Normal","","690","Scheduled Banks Loans to Wholesale trade, except of motor vehicles and motorcycles"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00080000","..................47- Retail trade, except of motor vehicles and motorcycles","262243.336","Million PKR","Normal","","700","Scheduled Banks Loans to Retail trade, except of motor vehicles and motorcycles"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00081000","............H. Transportation and storage","116074.05","Million PKR","Normal","","710","Scheduled Banks Loans to Transportation and storage sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00082000","..................49- Land transport and transport via pipelines","39387.443","Million PKR","Normal","","720","Scheduled Banks Loans to Land transport and transport via pipelines"
